source,target,community_source,community_target
99,102,10,10
100,190,5,5
100,149,5,5
100,150,5,5
100,151,5,5
100,152,5,5
101,102,10,10
103,104,11,11
103,105,11,11
104,105,11,11
106,108,10,10
106,109,10,10
107,191,1,1
107,192,1,1
108,109,10,10
110,112,10,10
110,111,10,10
111,112,10,10
113,193,5,5
113,194,5,5
113,149,5,5
113,150,5,5
113,151,5,5
113,152,5,5
114,116,9,9
114,115,9,9
114,149,9,5
114,150,9,5
114,151,9,5
114,152,9,5
115,116,9,9
116,149,9,5
116,150,9,5
116,151,9,5
116,152,9,5
117,195,1,1
117,196,1,1
119,120,0,0
121,122,1,1
126,127,12,12
132,133,1,1
134,135,1,1
137,138,1,1
140,141,1,1
143,144,1,1
145,146,1,1
162,163,5,5
171,172,3,3
173,174,5,5
176,177,5,5
181,182,1,1
185,186,1,1
195,196,1,1
38,197,2,14
38,198,2,14
38,199,2,2
38,201,2,2
38,202,2,2
38,203,2,2
38,204,2,2
38,205,2,2
38,206,2,2
38,207,2,2
38,208,2,1
38,209,2,1
38,211,2,2
38,212,2,2
38,214,2,2
38,215,2,2
38,216,2,2
38,217,2,2
38,218,2,2
38,219,2,2
199,200,2,2
209,210,1,1
212,213,2,2
38,220,2,2
38,221,2,2
38,222,2,2
38,223,2,2
38,224,2,2
38,225,2,2
38,227,2,2
38,228,2,2
38,229,2,2
38,230,2,2
38,231,2,2
38,232,2,2
38,233,2,2
38,234,2,2
38,235,2,2
38,237,2,2
38,238,2,2
38,239,2,2
38,240,2,2
38,241,2,2
225,226,2,2
235,236,2,2
82,239,2,2
38,242,2,2
38,243,2,2
38,245,2,2
38,246,2,2
38,247,2,2
38,248,2,2
38,250,2,1
38,252,2,1
38,253,2,2
38,254,2,2
38,255,2,1
38,257,2,1
38,259,2,1
38,260,2,2
38,261,2,1
38,262,2,2
38,264,2,2
38,265,2,2
38,267,2,2
38,269,2,2
243,244,2,2
248,249,2,2
250,251,1,1
255,256,1,1
257,258,1,1
262,263,2,2
265,266,2,2
267,268,2,2
38,270,2,2
38,271,2,2
38,273,2,2
38,274,2,2
38,275,2,2
38,277,2,2
38,278,2,2
38,279,2,2
38,281,2,1
38,283,2,1
38,284,2,2
38,285,2,2
38,287,2,2
38,289,2,2
38,290,2,2
38,292,2,2
38,293,2,2
38,294,2,2
38,295,2,2
38,296,2,2
197,198,14,14
197,297,14,14
197,298,14,14
197,299,14,14
198,297,14,14
198,298,14,14
198,299,14,14
199,202,2,2
199,200,2,2
35,199,1,2
39,199,2,2
40,199,2,2
41,199,2,2
201,204,2,2
201,300,2,10
39,201,2,2
40,201,2,2
41,201,2,2
200,202,2,2
35,202,1,2
39,202,2,2
40,202,2,2
41,202,2,2
203,205,2,2
203,301,2,12
35,203,1,2
39,203,2,2
40,203,2,2
41,203,2,2
204,300,2,10
204,302,2,2
39,204,2,2
40,204,2,2
41,204,2,2
205,301,2,12
35,205,1,2
39,205,2,2
40,205,2,2
41,205,2,2
206,207,2,2
206,303,2,1
35,206,1,2
39,206,2,2
40,206,2,2
41,206,2,2
207,303,2,1
35,207,1,2
39,207,2,2
40,207,2,2
41,207,2,2
208,209,1,1
208,210,1,1
35,208,1,1
39,208,2,1
40,208,2,1
41,208,2,1
209,210,1,1
35,209,1,1
39,209,2,1
40,209,2,1
41,209,2,1
211,218,2,2
211,304,2,12
35,211,1,2
39,211,2,2
40,211,2,2
41,211,2,2
212,215,2,2
212,213,2,2
35,212,1,2
39,212,2,2
40,212,2,2
41,212,2,2
214,216,2,2
214,305,2,3
35,214,1,2
